Key,xTSNE,yTSNE
active server pages (asp),-43.32308,-12.5670805
food service experience,14.073862,-9.624097
occupational therapy,31.191841,-17.611406
chemistry,37.34041,20.618664
mailing,7.788065,-19.328712
financial statements,0.15754826,-27.174215
microsoft visio,-28.27579,2.9707909
data management,-2.3140306,-9.722546
web development,-44.930923,-14.135095
cisco,-43.91252,17.912563
inside sales,-8.242922,-21.347507
business-to-business,-9.269053,-20.52722
long-term care,19.877302,-11.459682
information technology industry knowledge,-5.1887856,-11.375401
manual dexterity,16.19697,-4.999651
sales support,-10.58202,-20.250742
clinical experience,26.47786,-6.9385242
account reconciliation,1.9298683,-27.393116
retail management,0.3562263,-6.468141
relational databases,-38.593723,-4.0794387
logistics,2.775496,9.564086
general ledger,1.9015383,-27.1913
initiative,1.3727368,-10.843842
finance,1.1896311,-26.260538
employee training,4.9186935,-10.3960495
social services,22.395185,-14.491906
pediatrics,32.86237,-4.734627
recruiting,11.17058,-43.48218
scanners,5.5579576,-3.2480984
health insurance portability and accountability act (hipaa),28.037487,-25.881777
training materials,5.0017705,-7.428792
public health and safety,28.302717,-11.106
asset protection,1.7680919,-5.318848
personal protective equipment (ppe),11.656377,15.324811
market strategy,-15.605706,-26.377209
psychology,21.302727,-15.150306
critical care,32.4158,-3.3955247
schematic diagrams,-8.654634,36.888317
systems development life cycle (sdlc),-42.317883,-7.327066
systems analysis,-31.051792,3.007618
bookkeeping,10.046959,-18.252306
web application development,-46.055695,-12.782896
team building,2.3092623,-9.60043
mechanical engineering,-7.156803,28.385452
scrum,-43.31799,-8.402489
autocad,-6.688105,30.066193
payroll processing,6.1359296,-31.936295
home care,20.489594,-10.727395
office management,9.893772,-18.253305
safety training,14.949554,18.229473
hospital experience,25.92775,-5.4129453
perl scripting language,-47.361717,2.0539367
managed care,24.692627,-26.861155
six sigma,-4.3807564,19.802202
data warehousing,-36.642044,-6.1893735
business intelligence,-36.00519,-6.0485
caregiving,20.555645,-10.718695
business management,0.21616107,-13.367301
debugging,-44.44133,-8.580511
cash register operation,0.35160312,-19.512617
financial management,1.859342,-15.289473
database administration,-39.66602,-2.5433583
copying,8.528873,-19.658876
contract preparation,2.5250266,-18.413998
expense reports,7.2806964,-22.8977
claims knowledge,10.711035,-25.805416
truck driving,13.450546,12.621388
surveillance,12.04991,-0.68414503
infection control,25.436857,-5.116761
care planning,25.384554,-6.5115504
microsoft active directory,-44.471775,11.106902
stakeholder management,-3.73429,-12.666254
system design,-30.007812,5.4327083
business operations,0.16911249,-12.075348
housekeeping,16.08218,-11.256808
biotechnology,35.109276,24.561731
generally accepted accounting principles (gaap),0.6425498,-28.182377
customer accounts,2.7543778,-21.524256
contract review,2.596645,-18.410055
power tools,-7.733701,43.056175
help desk support,-39.245495,12.885531
primary care,28.606016,-7.5224185
laundry,16.143139,-11.249397
business strategy,-3.5958445,-14.266349
sorting,8.466552,-17.572445
jquery,-47.664288,-13.342419
oncology,36.102615,-6.0674644
persuasion,-2.741183,-14.984649
hardware and software installation,-39.209118,13.204615
radiology,32.654564,6.678736
graphic design,-31.593979,-27.781443
unit testing,-44.48041,-8.401143
x-rays,18.080614,4.741492
asp.net,-43.638206,-11.960501
employee relations,10.181531,-37.61598
cold calling,-8.866392,-21.289953
estimating,-2.3804169,30.000385
adobe acrobat,-31.414425,-27.65915
adobe indesign,-31.476795,-27.965134
network engineering,-43.00239,18.138271
discharge planning,25.476204,-7.218636
painting,-2.2382581,48.329987
request for proposal (rfp),-2.1208837,-16.310122
