,SOC,SkillChange
0,Farm Labor Contractors,20.083333333333346
1,"Patternmakers, Wood",17.29411764705883
2,Mathematical Technicians,17.006369426751586
3,Animal Scientists,16.454525121229143
4,"Electrical and Electronics Installers and Repairers, Transportation Equipment",16.123989218328795
5,Agricultural Engineers,15.873450750163052
6,First-Line Supervisors of All Other Tactical Operations Specialists,15.0
7,Chemical Plant and System Operators,13.98968253968258
8,"Painters, Transportation Equipment",13.619582863407974
9,Gaming Managers,13.301679586563273
10,Motorboat Operators,13.254901960784304
11,"Grounds Maintenance Workers, All Other",13.118250775117463
12,Subway and Streetcar Operators,12.650366108786598
13,Aircraft Launch and Recovery Specialists,12.464864864864847
14,New Accounts Clerks,12.223612309462148
15,Cooling and Freezing Equipment Operators and Tenders,12.2208498023716
16,"Rock Splitters, Quarry",11.560975609756067
17,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",11.497387123745865
18,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",11.286507936507927
19,Environmental Engineering Technicians,11.230784223371455
20,"Career/Technical Education Teachers, Middle School",11.219543311950899
21,Funeral Service Managers,11.125541125541103
22,Terrazzo Workers and Finishers,10.98845359534388
23,"Agricultural Sciences Teachers, Postsecondary",10.932356020942379
24,Camera and Photographic Equipment Repairers,10.879365079365053
25,"First-Line Supervisors of Protective Service Workers, All Other",10.797096801287465
26,Broadcast News Analysts,10.714285714285719
27,Soil and Plant Scientists,10.644499285339887
28,"Mathematical Science Occupations, All Other",10.6059144295302
29,Bus and Truck Mechanics and Diesel Engine Specialists,10.55819229577664
30,Hunters and Trappers,10.549147149375978
31,Embalmers,10.443478260869552
32,Motion Picture Projectionists,10.403794121549577
33,Veterinary Technologists and Technicians,10.196248938160178
34,Infantry Officers,10.13259529228033
35,Home Appliance Repairers,10.108149072202238
36,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",10.099838733323567
37,Postmasters and Mail Superintendents,10.093010204081661
38,Nuclear Technicians,9.9553767660911
39,"Administrative Law Judges, Adjudicators, and Hearing Officers",9.940299392728297
40,"Building Cleaning Workers, All Other",9.928362573099427
41,"Precision Instrument and Equipment Repairers, All Other",9.85275191514435
42,Floor Sanders and Finishers,9.736200716845886
43,Gas Plant Operators,9.645053318278785
44,Manufactured Building and Mobile Home Installers,9.495954213538614
45,Fallers,9.489965628791001
46,Animal Breeders,9.486851255692061
47,Transportation Security Screeners,9.425916870494905
48,Logging Equipment Operators,9.411104179663115
49,Commercial Divers,9.375724637681138
50,Computer and Information Research Scientists,9.363928722013721
51,Command and Control Center Specialists,9.236133166969173
52,Foundry Mold and Coremakers,9.215995288707553
53,Biomedical Engineers,9.178071085389016
54,Plasterers and Stucco Masons,9.101258581235683
55,Medical Appliance Technicians,9.010204081632642
56,Web Developers,8.943322202688657
57,"Insulation Workers, Mechanical",8.929646164021168
58,Audio-Visual and Multimedia Collections Specialists,8.806620304575729
59,"Rail Transportation Workers, All Other",8.7625
60,Outdoor Power Equipment and Other Small Engine Mechanics,8.665023432194005
61,Textile Bleaching and Dyeing Machine Operators and Tenders,8.640277777777744
62,Postal Service Clerks,8.634859959263753
63,Aircraft Cargo Handling Supervisors,8.632358627509417
64,Fish and Game Wardens,8.613092760808705
65,Surveying and Mapping Technicians,8.5878978874209
66,Athletes and Sports Competitors,8.490064152714734
67,Museum Technicians and Conservators,8.408806195809815
68,"Library Science Teachers, Postsecondary",8.397995705082312
69,Interior Designers,8.36942508611857
70,Postal Service Mail Carriers,8.320172155688644
71,Airfield Operations Specialists,8.318307168789797
72,"Sewers, Hand",8.251088534107401
73,Choreographers,8.222222222222234
74,"Buyers and Purchasing Agents, Farm Products",8.184395092636981
75,Forensic Science Technicians,8.126839182736695
76,Wind Turbine Service Technicians,8.109656249511955
77,Shampooers,8.102150537634413
78,Aerospace Engineering and Operations Technicians,8.056376991399294
79,"Control and Valve Installers and Repairers, Except Mechanical Door",8.029844495394975
80,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",8.00005055867331
81,Electromechanical Equipment Assemblers,7.983601446564394
82,"Logging Workers, All Other",7.974395163824978
83,Solar Photovoltaic Installers,7.847888246207558
84,Food Service Managers,7.82957030769288
85,Timing Device Assemblers and Adjusters,7.823529411764703
86,Sociologists,7.8010465687772985
87,"Graders and Sorters, Agricultural Products",7.739721185991841
88,"Plant and System Operators, All Other",7.710738486940413
89,"Meat, Poultry, and Fish Cutters and Trimmers",7.67353951890034
90,Gaming Change Persons and Booth Cashiers,7.635598923283997
91,"Morticians, Undertakers, and Funeral Directors",7.6023090737577865
92,Advertising and Promotions Managers,7.595989480013327
93,Musical Instrument Repairers and Tuners,7.579351356911954
94,Counter and Rental Clerks,7.560465064999236
95,First-Line Supervisors of Correctional Officers,7.5500329163923885
96,Log Graders and Scalers,7.547275617086614
97,Traffic Technicians,7.49260397059351
98,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",7.477394636015302
99,Computer Programmers,7.452889431122576
100,Cartographers and Photogrammetrists,7.419254660709029
101,Shoe Machine Operators and Tenders,7.343717222571822
102,Agricultural and Food Science Technicians,7.337266891264379
103,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",7.272452648977055
104,Desktop Publishers,7.226221587143958
105,"Special Education Teachers, Secondary School",7.215396955423549
106,"Mining and Geological Engineers, Including Mining Safety Engineers",7.201031770928438
107,Ship Engineers,7.193818800695238
108,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",7.177895817130921
109,"Material Moving Workers, All Other",7.1718658578706105
110,Multimedia Artists and Animators,7.168778378847409
111,Fishers and Related Fishing Workers,7.120166809238662
112,Power Distributors and Dispatchers,7.11702696016537
113,Fashion Designers,7.07062867178342
114,"Textile, Apparel, and Furnishings Workers, All Other",6.968752614506278
115,Database Administrators,6.956878120830555
116,Automotive Glass Installers and Repairers,6.9528767303087395
117,Brokerage Clerks,6.951397712644467
118,Septic Tank Servicers and Sewer Pipe Cleaners,6.950431767185667
119,"Roustabouts, Oil and Gas",6.922334983571378
120,Prepress Technicians and Workers,6.902714621729876
121,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6.799506026303658
122,"Electric Motor, Power Tool, and Related Repairers",6.794742704999635
123,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",6.793765594516534
124,Transit and Railroad Police,6.7745638879842724
125,Electronic Home Entertainment Equipment Installers and Repairers,6.764089345892009
126,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",6.7192185007974645
127,Hoist and Winch Operators,6.71225475047148
128,"Software Developers, Systems Software",6.6910711329722155
129,Ophthalmic Laboratory Technicians,6.666435065689992
130,"Arbitrators, Mediators, and Conciliators",6.662268243065571
131,Radio Operators,6.612960203124147
132,"Environmental Science Teachers, Postsecondary",6.612830368133797
133,"Software Developers, Applications",6.608782004172833
134,Biochemists and Biophysicists,6.602882636212177
135,Semiconductor Processors,6.579171824419062
136,Sales Engineers,6.573361171120795
137,Orthotists and Prosthetists,6.570087027493877
138,Engine and Other Machine Assemblers,6.56296547511792
139,"Rotary Drill Operators, Oil and Gas",6.536130937718959
140,Hazardous Materials Removal Workers,6.5350840039530915
141,Rail-Track Laying and Maintenance Equipment Operators,6.529046129513585
142,"Model Makers, Metal and Plastic",6.517993754439957
143,"Fabric Menders, Except Garment",6.499999999999998
144,Nuclear Power Reactor Operators,6.486748614381787
145,Farm and Home Management Advisors,6.486612466006099
146,"Cutters and Trimmers, Hand",6.473789173789174
147,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",6.472415930574914
148,"Helpers, Construction Trades, All Other",6.462111440494299
149,Geographers,6.461767841845932
150,Marine Engineers and Naval Architects,6.4063375282534505
151,"Agents and Business Managers of Artists, Performers, and Athletes",6.391799770440561
152,Landscape Architects,6.3670861287501985
153,"Railroad Brake, Signal, and Switch Operators",6.357814254859617
154,Flight Attendants,6.357630406205513
155,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",6.344391786748466
156,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6.340116959064305
157,Epidemiologists,6.338793974059628
158,Commercial and Industrial Designers,6.325936343451864
159,Forest and Conservation Workers,6.313923232323215
160,Highway Maintenance Workers,6.260512702400958
161,"Architects, Except Landscape and Naval",6.244272002086635
162,Mathematicians,6.198075345596398
163,"Metal Workers and Plastic Workers, All Other",6.196002898331509
164,Photographic Process Workers and Processing Machine Operators,6.19359065611323
165,Foresters,6.1935099459847605
166,Agricultural Inspectors,6.17970307281116
167,Chiropractors,6.178681351663637
168,Information Security Analysts,6.174137535886049
169,"Mixing and Blending Machine Setters, Operators, and Tenders",6.155196957180285
170,Labor Relations Specialists,6.150620387826565
171,"Assemblers and Fabricators, All Other",6.149999065184442
172,Structural Metal Fabricators and Fitters,6.144416417171541
173,Fabric and Apparel Patternmakers,6.08583340544288
174,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",6.076127399254692
175,Wellhead Pumpers,6.074666370518434
176,Transportation Inspectors,6.051445696396787
177,"Religious Workers, All Other",6.039935898906078
178,"Maintenance Workers, Machinery",5.9718550334355145
179,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",5.969812067084879
180,Pipelayers,5.951123288333348
181,Elevator Installers and Repairers,5.945480022455146
182,Forest and Conservation Technicians,5.940464802695735
183,"Forestry and Conservation Science Teachers, Postsecondary",5.922637051039711
