Key,xTSNE,yTSNE
"Protective Service Workers, All Other",-2.196743,-14.331245
Cardiovascular Technologists and Technicians,20.948286,-27.358938
Magnetic Resonance Imaging Technologists,20.196203,-29.101011
Diagnostic Medical Sonographers,20.666435,-28.427715
Dietitians and Nutritionists,18.884563,-20.890844
Occupational Therapy Assistants,23.087969,-19.925161
Fundraisers,6.590427,-3.1027975
Ophthalmic Medical Technicians,18.184402,-24.720245
Insurance Underwriters,8.582162,-1.0056844
"Meeting, Convention, and Event Planners",-1.6703836,-2.5367336
Commercial and Industrial Designers,3.0505302,18.498716
Electrical Engineers,2.731358,21.069626
"Production, Planning, and Expediting Clerks",0.48028457,4.1810493
Security Guards,-0.74738455,-15.37531
"Production Workers, All Other",-21.165104,1.8405142
Pest Control Workers,-3.55787,-3.6897452
Social and Community Service Managers,18.370811,-15.163851
Psychiatric Technicians,23.02733,-19.174906
Medical Assistants,20.32386,-25.898535
First-Line Supervisors of Production and Operating Workers,-2.1529846,15.330269
Machinists,-31.699675,6.579347
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-14.737042,-4.347146
"Education Administrators, Postsecondary",14.331985,1.3412669
Environmental Engineers,2.469116,12.59756
First-Line Supervisors of Non-Retail Sales Workers,-3.5150385,-1.8851655
Veterinary Technologists and Technicians,18.51797,-26.080168
Proofreaders and Copy Markers,21.097181,7.26707
"Criminal Justice and Law Enforcement Teachers, Postsecondary",20.06634,-4.764674
Civil Engineers,5.5206294,17.88982
Social and Human Service Assistants,18.980362,-15.806952
"First-Line Supervisors of Protective Service Workers, All Other",-1.7591667,-15.110493
Training and Development Managers,13.880946,2.8644288
Technical Writers,12.137936,12.453348
Surgeons,24.211817,-28.092365
Executive Secretaries and Executive Administrative Assistants,7.6509614,-5.158016
Childcare Workers,21.740145,-13.564626
Music Directors and Composers,19.238733,-7.2805333
Advertising Sales Agents,-2.6427858,0.40056366
Orderlies,20.551792,-24.680012
First-Line Supervisors of Housekeeping and Janitorial Workers,-10.417202,-8.18136
Paralegals and Legal Assistants,6.7734466,-11.651084
"Tax Examiners and Collectors, and Revenue Agents",12.835287,-1.8934232
Purchasing Managers,2.501776,4.9711
Exercise Physiologists,23.129854,-24.861626
Budget Analysts,9.55939,2.020962
"Teachers and Instructors, All Other",22.036959,-8.48227
Speech-Language Pathologists,24.043667,-20.503336
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",-2.7634137,-5.444773
Private Detectives and Investigators,10.896487,-6.218043
"Plumbers, Pipefitters, and Steamfitters",-28.691313,19.385561
"Electronics Engineers, Except Computer",2.2381794,21.770823
Stationary Engineers and Boiler Operators,-25.73637,17.782751
"Welders, Cutters, Solderers, and Brazers",-33.85443,7.7462325
"Business Operations Specialists, All Other",9.75176,4.9638762
Helpers--Production Workers,-20.775007,2.040463
"Geoscientists, Except Hydrologists and Geographers",2.8115196,12.222543
"Community and Social Service Specialists, All Other",14.877806,-10.212624
"Environmental Scientists and Specialists, Including Health",2.4856277,11.888449
"Health Specialties Teachers, Postsecondary",18.519104,-17.696262
"Fine Artists, Including Painters, Sculptors, and Illustrators",20.935537,11.255623
Art Directors,22.43367,9.582104
Emergency Medical Technicians and Paramedics,21.5223,-26.086613
"First-Line Supervisors of Mechanics, Installers, and Repairers",-7.850887,11.990505
"Middle School Teachers, Except Special and Career/Technical Education",22.456284,-8.792577
Police and Sheriff's Patrol Officers,-0.47772208,-15.383341
"Paving, Surfacing, and Tamping Equipment Operators",-22.8668,12.342275
Railroad Conductors and Yardmasters,-19.923326,17.960585
Mental Health and Substance Abuse Social Workers,22.018261,-17.718983
Amusement and Recreation Attendants,-13.457026,-7.675259
Skincare Specialists,-5.7324553,-11.244555
"Chemistry Teachers, Postsecondary",26.241226,-6.159321
Carpet Installers,-23.634157,9.1004505
Interpreters and Translators,14.29137,-11.349304
"Transportation, Storage, and Distribution Managers",-0.02180646,4.5135446
Bill and Account Collectors,9.547548,-7.7459645
"Title Examiners, Abstractors, and Searchers",6.016556,-6.29808
Mechanical Drafters,4.6147566,19.352343
Fashion Designers,3.4726653,-1.8566949
Credit Analysts,9.252832,-1.040677
"Life, Physical, and Social Science Technicians, All Other",-1.6311591,16.465206
Conservation Scientists,0.8852733,9.593051
Loan Interviewers and Clerks,2.0544443,-0.060535274
Computer Network Support Specialists,13.095956,16.481869
"Locker Room, Coatroom, and Dressing Room Attendants",-13.517806,-6.9921403
Billing and Posting Clerks,9.59367,-7.425952
Automotive Body and Related Repairers,-25.30126,14.3342495
Architectural and Engineering Managers,10.227063,14.666625
Real Estate Sales Agents,-1.0606557,-1.8011873
Cargo and Freight Agents,-0.55437994,2.763663
Computer and Information Systems Managers,12.895106,14.282795
Producers and Directors,21.184288,8.933514
Graphic Designers,22.12426,10.07177
Residential Advisors,18.076778,-13.891322
Transit and Railroad Police,0.24764459,-16.368355
Home Appliance Repairers,-20.823753,9.363377
Counter and Rental Clerks,-4.4552517,-4.9733024
"Electronic Equipment Installers and Repairers, Motor Vehicles",-3.1568797,-6.699996
Computer Programmers,14.736343,14.594735
"Architects, Except Landscape and Naval",10.703241,15.079838
Judicial Law Clerks,6.6362085,-10.423843
Recreational Therapists,21.894424,-18.844675
Computer and Information Research Scientists,15.407681,12.877451
"Child, Family, and School Social Workers",20.279718,-15.867347
"Legal Support Workers, All Other",7.097749,-10.048734
"Physics Teachers, Postsecondary",24.606754,-5.3125777
Nuclear Medicine Technologists,19.901272,-29.275488
"Drafters, All Other",4.723862,19.187763
Aerospace Engineers,2.0399637,19.89704
Recreation Workers,18.682278,-13.2778845
Rehabilitation Counselors,15.63584,-12.520478
Occupational Therapy Aides,22.420515,-22.878569
Procurement Clerks,1.3183944,3.762415
"Designers, All Other",21.791197,11.373618
"Interviewers, Except Eligibility and Loan",12.02346,-9.99695
"Sales and Related Workers, All Other",-2.5320642,-2.3538404
"Elementary School Teachers, Except Special Education",21.809856,-9.429931
Athletes and Sports Competitors,4.038607,-2.5167391
Pharmacists,14.681356,-22.230213
Occupational Health and Safety Technicians,-3.1028035,12.461371
"Motor Vehicle Operators, All Other",-15.402896,-0.3131563
Travel Agents,-1.0931097,-4.0329885
Compensation and Benefits Managers,11.274971,1.8368635
Printing Press Operators,-17.474394,3.4626122
"Painters, Construction and Maintenance",-29.490437,14.161283
Gas Compressor and Gas Pumping Station Operators,-14.413818,12.515664
"Special Education Teachers, Middle School",22.329243,-10.987694
"Dentists, General",27.297033,-26.542673
"Mobile Heavy Equipment Mechanics, Except Engines",-23.80686,15.02925
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-20.120552,2.5745437
"Compensation, Benefits, and Job Analysis Specialists",11.276668,1.4001197
Massage Therapists,-5.796576,-12.130401
Tax Preparers,13.250552,-2.0313168
"Preschool Teachers, Except Special Education",21.70829,-12.167182
Medical Equipment Preparers,-22.381142,-4.4240427
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-29.216782,11.172342
"Nursing Instructors and Teachers, Postsecondary",23.720903,-10.11109
Credit Counselors,6.5206842,-5.2181406
"Mixing and Blending Machine Setters, Operators, and Tenders",-19.662855,2.040728
"Electric Motor, Power Tool, and Related Repairers",-22.921307,16.910233
Industrial Truck and Tractor Operators,-19.287596,-0.119827025
Landscaping and Groundskeeping Workers,-21.524736,11.52115
Healthcare Social Workers,20.865532,-18.7764
Security and Fire Alarm Systems Installers,-14.670158,16.10666
Sewing Machine Operators,-21.059067,4.928369
Dental Assistants,29.19362,-27.394041
Food Preparation Workers,-14.2448,-9.159946
Roofers,-29.561033,16.382742
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-29.5699,7.638089
Survey Researchers,13.108228,-7.146016
Construction Laborers,-29.884134,15.576661
Outdoor Power Equipment and Other Small Engine Mechanics,-20.451406,9.602308
Surveyors,5.3617897,13.048353
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-25.02947,1.0863464
Farm Equipment Mechanics and Service Technicians,-23.261044,14.713371
Reservation and Transportation Ticket Agents and Travel Clerks,-0.23727174,-8.543769
Chemical Technicians,3.469367,-23.594223
Manicurists and Pedicurists,-5.697998,-10.941616
Butchers and Meat Cutters,-17.392181,-7.365387
Structural Iron and Steel Workers,-32.247795,13.484394
"Library Assistants, Clerical",4.3294034,-7.721854
Petroleum Engineers,4.5537567,15.139599
Order Clerks,0.4932264,-5.4466786
Library Technicians,4.491673,-7.5220866
Animal Trainers,-3.449924,-7.946427
Photographers,20.087011,9.112066
"Office Machine Operators, Except Computer",4.175991,-9.446161
Insurance Claims and Policy Processing Clerks,10.40967,-8.16376
Telecommunications Line Installers and Repairers,-14.586532,17.57349
"Cooks, Short Order",-16.332155,-9.542187
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-0.93934596,3.9396958
"Roustabouts, Oil and Gas",-15.012211,17.024921
"Mathematical Science Teachers, Postsecondary",24.42864,-5.8454013
Forest Fire Inspectors and Prevention Specialists,4.6995997,6.509406
Baggage Porters and Bellhops,-12.507099,-6.7851477
Optometrists,17.612679,-23.767948
Bicycle Repairers,-4.4198356,-6.7034626
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",-2.7001026,12.933901
"Pediatricians, General",24.561678,-27.60062
Print Binding and Finishing Workers,-20.579456,5.7889147
"Environmental Science and Protection Technicians, Including Health",-10.703782,11.336843
Anesthesiologists,24.010174,-28.961554
Sound Engineering Technicians,17.898993,9.479476
"Molders, Shapers, and Casters, Except Metal and Plastic",-27.341936,7.395532
Bartenders,-13.148491,-8.765126
Actors,18.356003,-9.574664
Marriage and Family Therapists,21.570143,-16.672932
"Insurance Appraisers, Auto Damage",2.2516577,-4.902091
Dietetic Technicians,-14.455242,-11.391821
"Secondary School Teachers, Except Special and Career/Technical Education",22.551586,-8.1228895
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-25.802294,7.319164
"Special Education Teachers, All Other",22.788956,-11.808026
Computer Hardware Engineers,2.1773846,22.05878
Prepress Technicians and Workers,-4.3832955,3.563024
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-26.183165,6.2577453
"Packers and Packagers, Hand",-19.688204,0.119902484
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",-13.52817,6.3429184
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-28.821188,9.27017
Financial Examiners,9.496153,-1.8160982
"Meat, Poultry, and Fish Cutters and Trimmers",-17.907701,-6.3526998
Desktop Publishers,20.60777,6.9858236
Power Plant Operators,-15.94494,12.35096
"Mail Clerks and Mail Machine Operators, Except Postal Service",4.0836315,-9.364156
Telephone Operators,2.0145178,-9.426958
"Switchboard Operators, Including Answering Service",2.385538,-9.41551
"Psychology Teachers, Postsecondary",24.014076,-8.506086
Tire Repairers and Changers,-26.569078,13.624915
Power Distributors and Dispatchers,-13.153301,12.161524
Lodging Managers,-8.845566,-8.384389
New Accounts Clerks,0.7488998,-3.062604
Transportation Inspectors,-9.194188,16.262396
Construction and Building Inspectors,-7.385027,13.411014
"Communications Teachers, Postsecondary",22.056993,-5.9676166
"Material Moving Workers, All Other",-20.476824,0.8970817
First-Line Supervisors of Personal Service Workers,-4.8984337,-7.6644425
"Control and Valve Installers and Repairers, Except Mechanical Door",-20.265863,20.71206
Interior Designers,8.739833,19.142134
File Clerks,6.1278086,-8.374324
"Eligibility Interviewers, Government Programs",11.639168,-9.964813
Concierges,0.2821206,-8.826434
Broadcast Technicians,18.766115,9.247007
Advertising and Promotions Managers,23.805151,8.182073
"Biological Science Teachers, Postsecondary",26.336773,-6.2353992
"Biological Scientists, All Other",4.426572,-24.46932
Water and Wastewater Treatment Plant and System Operators,-15.865095,12.224178
Traffic Technicians,-11.197669,8.9015
"Farmers, Ranchers, and Other Agricultural Managers",-11.937386,5.726742
Crane and Tower Operators,-20.663574,14.474992
"Business Teachers, Postsecondary",19.90665,-2.154453
Helpers--Electricians,-23.78638,21.37047
Community Health Workers,16.543766,-13.495428
Electrical and Electronics Drafters,2.9740791,21.158434
"Installation, Maintenance, and Repair Workers, All Other",-24.512938,16.082249
"Mining and Geological Engineers, Including Mining Safety Engineers",3.746135,14.807539
Materials Engineers,1.2242172,17.451908
"Architecture Teachers, Postsecondary",8.094001,19.378208
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-27.73086,7.9720798
"Computer Science Teachers, Postsecondary",13.786702,10.746026
Mechanical Door Repairers,-22.92373,8.983144
"Economics Teachers, Postsecondary",20.358784,-2.5206625
Physical Therapist Aides,22.616516,-23.075115
"History Teachers, Postsecondary",23.533226,-6.6983027
Automotive and Watercraft Service Attendants,-25.450495,13.643164
"Education Administrators, All Other",14.582566,-8.938015
"Telecommunications Equipment Installers and Repairers, Except Line Installers",-14.513917,17.5851
Word Processors and Typists,5.9807754,-9.0147
Historians,5.691107,1.5105054
"Counselors, All Other",19.838095,-15.5167885
"Special Education Teachers, Preschool",21.779655,-15.304392
Curators,6.2612543,-2.1936245
Orthodontists,28.019114,-26.397903
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-8.544915,-12.504592
Food Scientists and Technologists,-0.45377454,14.487307
Hazardous Materials Removal Workers,-11.724123,10.803695
"Opticians, Dispensing",-6.431487,-7.079452
"Earth Drillers, Except Oil and Gas",-17.42489,9.745758
"Food Servers, Nonrestaurant",-15.707788,-10.504687
Medical Appliance Technicians,-23.537373,-1.691193
Couriers and Messengers,-15.230926,1.2737702
Atmospheric and Space Scientists,7.210404,8.967402
Glaziers,-28.61827,15.041323
"Engineering Teachers, Postsecondary",2.6342363,15.756688
"Captains, Mates, and Pilots of Water Vessels",-13.316516,9.264261
Choreographers,17.103811,-5.907185
"Helpers--Installation, Maintenance, and Repair Workers",-23.07543,10.696456
First-Line Supervisors of Construction Trades and Extraction Workers,-6.997927,13.000928
Electrical Power-Line Installers and Repairers,-19.34759,14.005871
Mathematicians,13.56249,11.735595
"Metal Workers and Plastic Workers, All Other",-26.189447,5.6965666
Agricultural and Food Science Technicians,-4.379329,9.336791
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",-12.284163,7.3337955
Solar Photovoltaic Installers,-25.934868,19.445414
Probation Officers and Correctional Treatment Specialists,15.277941,-13.901497
"Kindergarten Teachers, Except Special Education",21.44152,-10.47735
Barbers,-4.2487206,-9.280777
"Tailors, Dressmakers, and Custom Sewers",-8.310876,-5.8132496
"Computer, Automated Teller, and Office Machine Repairers",-15.5988245,16.105423
Radiation Therapists,19.288898,-28.509718
Drywall and Ceiling Tile Installers,-31.514616,16.81373
Operating Engineers and Other Construction Equipment Operators,-22.448128,13.111041
"Social Scientists and Related Workers, All Other",9.626751,8.721173
Nurse Anesthetists,23.171738,-28.64067
Social Science Research Assistants,10.4516325,8.623903
Geographers,6.681966,9.500024
Tool and Die Makers,-31.271038,6.879262
Animal Control Workers,2.0734813,-12.637106
Physicists,9.082983,11.760421
"English Language and Literature Teachers, Postsecondary",22.498789,-7.08417
Medical Equipment Repairers,-22.49543,-3.9749696
Laundry and Dry-Cleaning Workers,-14.684428,-5.9802284
Metal-Refining Furnace Operators and Tenders,-23.224142,6.035929
"Personal Care and Service Workers, All Other",-2.6409924,-7.894323
Chiropractors,24.338762,-22.800386
Political Scientists,9.644467,6.442455
Brickmasons and Blockmasons,-31.007969,14.874731
Dental Hygienists,29.189648,-27.398926
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-21.930357,16.933659
Highway Maintenance Workers,-18.203873,12.727428
"Judges, Magistrate Judges, and Magistrates",7.995883,-10.586603
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-29.008793,6.963471
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-28.03295,6.6493773
Set and Exhibit Designers,21.13183,12.014719
"Credit Authorizers, Checkers, and Clerks",8.974637,-1.2402482
Correctional Officers and Jailers,14.505019,-13.939358
Cleaners of Vehicles and Equipment,-15.841156,3.5450184
Tree Trimmers and Pruners,-20.075516,11.908839
Millwrights,-32.31634,8.755554
Brokerage Clerks,7.1675897,-3.3234737
Sailors and Marine Oilers,-15.249406,9.880783
Architectural and Civil Drafters,6.040519,18.801794
Recreational Vehicle Service Technicians,-24.962875,11.4072075
Refuse and Recyclable Material Collectors,-24.637531,1.1278124
Parts Salespersons,-4.4935727,-5.0302873
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-25.04096,4.9824395
"Maintenance Workers, Machinery",-23.686201,16.226328
Machine Feeders and Offbearers,-17.987854,4.284164
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-25.515245,2.3105187
Urban and Regional Planners,5.959004,9.99183
Clergy,19.27219,-14.220104
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",-9.825102,6.2769747
Materials Scientists,1.3371162,16.21813
Rail Car Repairers,-27.48661,11.204616
Models,4.148077,-3.29026
"Art, Drama, and Music Teachers, Postsecondary",19.846384,-7.6685553
Hydrologists,2.3838477,11.051302
Photographic Process Workers and Processing Machine Operators,-4.008417,3.699515
"Directors, Religious Activities and Education",16.500284,-9.745847
Wind Turbine Service Technicians,-18.105898,19.083458
Orthotists and Prosthetists,25.45606,-21.861595
Postal Service Clerks,3.4664323,-10.315793
Motorboat Mechanics and Service Technicians,-17.926176,15.484363
Correspondence Clerks,10.198101,-9.447256
Biochemists and Biophysicists,4.484229,-23.753187
"Explosives Workers, Ordnance Handling Experts, and Blasters",2.1099815,-6.6277585
Locksmiths and Safe Repairers,-16.392315,15.049089
"Grinding and Polishing Workers, Hand",-28.893398,3.5558195
First-Line Supervisors of Police and Detectives,10.688388,-14.462462
Helpers--Carpenters,-32.79869,17.14453
"Makeup Artists, Theatrical and Performance",-5.830283,-8.8624325
Marine Engineers and Naval Architects,3.579243,16.15766
Nuclear Engineers,3.8379025,15.248133
"Physical Scientists, All Other",16.00867,-18.235008
"Cooks, Fast Food",-16.927767,-10.395356
"Special Education Teachers, Kindergarten and Elementary School",22.241228,-10.391643
Anthropologists and Archeologists,5.3736095,10.23031
Archivists,16.3521,0.12826413
"Cutters and Trimmers, Hand",-27.045742,2.468424
Animal Breeders,-11.556371,3.9572418
Food Batchmakers,-15.566314,-8.857318
Athletic Trainers,20.288103,-20.788239
Film and Video Editors,20.979189,9.671082
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-16.718054,16.926249
Packaging and Filling Machine Operators and Tenders,-19.387035,2.1439993
Agricultural Engineers,4.8404384,3.7851825
"Farmworkers, Farm, Ranch, and Aquacultural Animals",-12.209883,5.1893554
Oral and Maxillofacial Surgeons,26.924986,-26.657183
"Cooks, Institution and Cafeteria",-15.649373,-12.239259
Shoe Machine Operators and Tenders,-18.710205,5.287729
Boilermakers,-32.850826,12.7587185
Landscape Architects,8.269609,18.971
"Cutting and Slicing Machine Setters, Operators, and Tenders",-28.56066,7.5954247
Nuclear Power Reactor Operators,-12.770227,13.930804
"Painting, Coating, and Decorating Workers",-21.715944,5.624805
Musicians and Singers,18.676687,-7.06691
Dancers,18.46373,-6.503988
