2010	Personal Financial Advisors	27599	15.107396216500263	89359.66325966851
2010	Tellers	62526	12.091831100520183	25147.68376020787
2010	Insurance Sales Agents	43467	13.909670732679583	86624.68460383358
2010	Computer Programmers	53493	15.700837069068116	79968.40175940041
2010	Office Clerks, General	60696	12.723809995542126	28574.829245327994
2010	Medical Assistants	43848	12.148966793461499	33025.54022996145
2010	Software Developers, Applications	480481	15.916063437892987	101467.92451945947
2010	Cashiers	51732	12.0	26542.805539538716
2010	Medical and Health Services Managers	161315	16.212427306657407	95197.20214423737
2010	Biological Scientists, All Other	7072	17.414975268633807	105611.11286458334
2010	Human Resources Managers	35589	15.801107500800878	94068.33541464362
2010	Insurance Underwriters	10384	15.512685337726523	79753.70934434693
2010	Management Analysts	128308	16.109763822278527	94773.49802072169
2010	Registered Nurses	440768	14.799674697140926	68305.75388276728
2010	Medical Records and Health Information Technicians	62499	13.69377321944559	45495.74675072745
2010	Database Administrators	85609	15.727796210480134	90219.48447213798
2010	Sales Managers	156144	15.409003798441606	121504.93082732976
2010	First-Line Supervisors of Construction Trades and Extraction Workers	6012	13.904115586690018	53677.443570722055
2010	Fashion Designers	3638	15.729015201586252	87341.18238866396
2010	Computer User Support Specialists	115437	14.537402387930525	52481.20374970978
2010	Actuaries	5386	16.11453744493392	117404.67951482479
2010	General and Operations Managers	98627	15.380731675133601	103574.09353752945
2010	Designers, All Other	12671	15.389499162167194	75156.0840926641
2010	Cost Estimators	13420	15.235044824775876	78692.14600886918
2010	Nurse Anesthetists	3387	18.123393316195372	119222.26017699116
2010	First-Line Supervisors of Non-Retail Sales Workers	17770	14.129283831282953	76161.03327264452
2010	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	472591	14.730471651246637	77762.89790908458
2010	Retail Salespersons	306321	12.930364120400188	39255.4225295654
2010	Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	147386	13.179185534444393	34681.44964926042
2010	Real Estate Sales Agents	36520	14.006567983531026	65338.04754360983
2010	Training and Development Specialists	24905	15.249230563361435	64775.06486235694
2010	Heating, Air Conditioning, and Refrigeration Mechanics and Installers	24622	12.283242926257147	46651.826823158284
2010	Managers, All Other	315317	15.616673297087035	92987.41365063646
2010	Biological Technicians	4498	15.728264162375037	51392.21209766925
2010	Purchasing Agents, Except Wholesale, Retail, and Farm Products	41060	15.459322100160287	66975.2899437751
2010	Computer Network Architects	58358	15.59307867406459	95909.48485421923
2010	Operations Research Analysts	54478	16.948857601917158	95798.19257198498
2010	Natural Sciences Managers	22173	17.795377823941834	114766.81769699608
2010	Aerospace Engineers	3228	16.287370103916867	95553.22434210527
2010	Merchandise Displayers and Window Trimmers	72026	12.549505365526493	30336.068282952278
2010	Engineers, All Other	62377	16.021788037364896	102603.1927817842
2010	Massage Therapists	11073	12.069565217391304	56408.77538461539
2010	Computer Occupations, All Other	411896	15.811339821596377	100794.99040010863
2010	Physicians and Surgeons, All Other	61113	18.881694731124387	166949.34363963964
2010	Stock Clerks and Order Fillers	56230	12.332469647616227	26613.98925143954
2010	Landscaping and Groundskeeping Workers	14739	12.087316522393676	29019.966348425198
2010	Manicurists and Pedicurists	6279	12.079295154185022	55937.22621082621
2010	Counselors, All Other	4162	15.665109489051094	47454.844066570186
2010	First-Line Supervisors of Retail Sales Workers	277629	13.2821602651589	51950.1395137908
2010	Computer Systems Analysts	111432	15.684799282968784	92927.06903058183
2010	Wholesale and Retail Buyers, Except Farm Products	1970	15.646840148698885	65251.30197044335
2010	Combined Food Preparation and Serving Workers, Including Fast Food	45120	12.002774974772956	29101.27682475614
2010	Bookkeeping, Accounting, and Auditing Clerks	91483	13.739073046347682	37994.52174378176
2010	Food Service Managers	143874	12.754846396599472	44035.835230175944
2010	Maintenance and Repair Workers, General	80976	12.308101388217418	39784.37046150003
2010	Customer Service Representatives	244963	12.79499897226914	32937.61630312506
2010	Marketing Managers	110762	16.09129276847176	150841.7338413578
2010	Heavy and Tractor-Trailer Truck Drivers	180678	12.000970671843584	56311.60717027052
2010	Network and Computer Systems Administrators	88118	15.499486100819848	80702.37428697183
2010	Human Resources Assistants, Except Payroll and Timekeeping	11448	13.562638991845812	34682.13980035833
2010	Child, Family, and School Social Workers	7760	16.36772873428822	45472.50616512765
2010	Laborers and Freight, Stock, and Material Movers, Hand	70468	12.143519820073095	24852.70460883633
2010	Security Guards	43017	12.299908738307096	30858.604008386777
2010	Printing Press Operators	3096	12.791717417783191	32159.192111959288
2010	Protective Service Workers, All Other	21140	12.54217320466224	31458.27111801242
2010	Phlebotomists	17051	12.011936209764212	33747.770833333336
2010	Personal Care Aides	29476	12.418892045454545	32797.28239429062
2010	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	4567	12.124794745484401	21754.23
2010	Title Examiners, Abstractors, and Searchers	2796	12.891786179921773	35278.166719745226
2010	Opticians, Dispensing	1909	14.68918918918919	31256.829714285715
2010	Sales Representatives, Services, All Other	36580	14.38613605530073	62560.34391357808
2010	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	47866	12.000181818181819	28445.237497201702
2010	First-Line Supervisors of Police and Detectives	950	14.401913875598087	70798.22618483413
2010	Compensation, Benefits, and Job Analysis Specialists	15095	15.86812368061592	61369.01116121759
2010	Social Workers, All Other	18295	17.06882528964935	57084.89105793451
2010	Nursing Assistants	63629	12.001900515332043	33180.10542381764
2010	Medical and Clinical Laboratory Technologists	20171	15.214539007092199	58543.94768145162
2010	Educational, Guidance, School, and Vocational Counselors	22943	14.935537076489588	48601.81129770992
